Category,Name,Description,RSS Feed URL,Website,IG Followers,Notes
Gossip & Celebrity,Hollywood Unlocked,Daily tea entertainment news gossip celebrity interviews,https://hollywoodunlocked.com/feed/,https://hollywoodunlocked.com,2.4M,MUST HAVE
Gossip & Celebrity,Bossip,Premier destination for African American pop culture,https://bossip.com/feed/,https://bossip.com,638.9K,MUST HAVE
Gossip & Celebrity,The Young Black & Fabulous,Black celebrity gossip founded Jun 2005,https://theybf.com/feed/,https://theybf.com,373.7K,MUST HAVE
Gossip & Celebrity,EURweb,Covering Black culture since 1997 urban entertainment,https://eurweb.com/feed/,https://eurweb.com,35.1K,
Gossip & Celebrity,MediaTakeOut,Urban celebrity gossip and entertainment,https://mediatakeout.com/feed/,https://mediatakeout.com,-,MUST HAVE
Gossip & Celebrity,Baller Alert,Black celebrity gossip and news,https://balleralert.com/feed/,https://balleralert.com,-,MUST HAVE
Gossip & Celebrity,TMZ,Most cited entertainment news source,https://www.tmz.com/rss.xml,https://www.tmz.com,8.3M,
Gossip & Celebrity,Page Six,Latest celebrity news entertainment headlines,https://pagesix.com/feed/,https://pagesix.com,1.6M,
Gossip & Celebrity,Perez Hilton,Hollywood's most sassy celebrity gossip since 2004,https://perezhilton.com/feed/,https://perezhilton.com,608.9K,
Gossip & Celebrity,The Hollywood Gossip,Leading source for gossip scandals breaking news since 2006,https://www.thehollywoodgossip.com/feed/,https://www.thehollywoodgossip.com,-,
Gossip & Celebrity,Just Jared,Celebrity news photos pop culture trends since 2005,https://www.justjared.com/feed/,https://www.justjared.com,1.7M,
Gossip & Celebrity,Wonderwall,One-stop celebrity hot spot interviews red carpet,https://www.wonderwall.com/feed/,https://www.wonderwall.com,80.6K,
Gossip & Celebrity,E! News,Global multiplatform brand for entertainment pop culture,https://www.eonline.com/syndication/feeds/rssfeeds/topstories.xml,https://www.eonline.com,25M,
Gossip & Celebrity,Access Hollywood,Best in entertainment and celebrity news,https://www.accesshollywood.com/feed/,https://www.accesshollywood.com,2M,
Gossip & Celebrity,ExtraTV,Emmy Award-winning entertainment news,https://extratv.com/feed/,https://extratv.com,1.1M,
Hip Hop,Rap-Up,Hip-hop and R&B news since 2002,https://www.rap-up.com/rss.xml,https://www.rap-up.com,811.9K,
Hip Hop,XXL Magazine,Leading voice in hip-hop since 1997,https://www.xxlmag.com/feed/,https://www.xxlmag.com,9.4M,
Hip Hop,The Source,Leading international voice for hip-hop culture and politics,https://thesource.com/feed/,https://thesource.com,-,
Hip Hop,AllHipHop,Daily hip-hop news exclusives interviews reviews,https://allhiphop.com/feed/,https://allhiphop.com,331.1K,
Hip Hop,Hip-Hop Wired,Daily hip-hop content and culture,https://hiphopwired.com/feed/,https://hiphopwired.com,45.6K,
Hip Hop,HotNewHipHop,8M+ monthly unique users hip-hop news,https://www.hotnewhiphop.com/rss.html,https://www.hotnewhiphop.com,943.8K,
Hip Hop,WorldStarHipHop,#1 urban outlet breaking latest urban news,http://www.worldstarhiphop.com/videos/rss.php,https://www.worldstarhiphop.com,43.9M,
Hip Hop,HipHopDX,Trusted hip-hop news source,https://hiphopdx.com/rss,https://hiphopdx.com,909.6K,
Hip Hop,The Boombox,R&B and hip hop news interviews,https://theboombox.com/feed/,https://theboombox.com,7.2K,
Hip Hop,Okayplayer,Hip-hop culture and music since 1999,https://www.okayplayer.com/feeds/feed.rss,https://www.okayplayer.com,630.6K,
Hip Hop,DJBooth,Quality hip-hop content no gossip,https://djbooth.net/feed/,https://djbooth.net,-,
Hip Hop,2 Dope Boyz,Mixtapes and editorials,http://2dopeboyz.com/feed/,http://2dopeboyz.com,-,
Hip Hop,Rap Radar,Hip-hop news since Mar 2009,https://rapradar.com/feed/,https://rapradar.com,-,
Hip Hop,SOHH,Urban news sneakers mixtapes,https://www.sohh.com/feed/,https://www.sohh.com,19.5K,
Hip Hop,HipHopSince1987,Mix of mainstream and up-and-coming hip-hop,https://hiphopsince1987.com/feed/,https://hiphopsince1987.com,240.5K,
Hip Hop,Thisis50,50 Cent's hip-hop platform,https://thisis50.com/feed/,https://thisis50.com,1.4M,
Hip Hop,MissInfo.tv,Your favorite rappers' favorite confidante,https://www.missinfo.tv/index.php/feed/,https://www.missinfo.tv,-,
Hip Hop,Billboard HipHop,Billboard's hip-hop coverage,https://www.billboardhiphop.com/feeds/posts/default,https://www.billboardhiphop.com,17.8M,
Hollywood & Industry,The Hollywood Reporter,Flagship entertainment industry media brand,https://www.hollywoodreporter.com/tags/rss/,https://www.hollywoodreporter.com,3M,
Hollywood & Industry,Variety,Most authoritative entertainment business news,https://variety.com/feed/,https://variety.com,3.3M,
Hollywood & Industry,Deadline,First to break up-to-the-minute Hollywood/media news,https://deadline.com/feed/,https://deadline.com,692.6K,
Hollywood & Industry,TheWrap,Leading digital news covering business of entertainment,https://www.thewrap.com/feed/,https://www.thewrap.com,211K,
Hollywood & Industry,Collider,Ultimate source for impactful entertainment news,https://collider.com/feed/,https://collider.com,164.9K,
Hollywood & Industry,Hollywood Life,Celebrity entertainment news since 2009,https://hollywoodlife.com/feed/,https://hollywoodlife.com,1.4M,
Hollywood & Industry,LA Times Entertainment,Entertainment news from LA Times,https://www.latimes.com/entertainment/rss2.0.xml,https://www.latimes.com/entertainment,1.3M,
Hollywood & Industry,Vanity Fair Hollywood,Entertainment celebrity news red-carpet coverage,https://www.vanityfair.com/hollywood/rss,https://www.vanityfair.com/hollywood,9.8M,
Hollywood & Industry,People Magazine,Celebrity news TV show updates musician news,https://people.com/rss.xml,https://people.com,14.7M,
Hollywood & Industry,Entertainment Tonight,TV's #1 entertainment news program,https://www.etonline.com/rss,https://www.etonline.com,-,
Black Podcasts,The Read,Pop culture podcast by Kid Fury and Crissy,https://thead.afr1.com/feed.rss,https://www.theread.tv,-,Must-have
Black Podcasts,The Breakfast Club,Morning radio show hip-hop and pop culture,https://thebreakfastclub.iheart.com/feed/rss.xml,https://thebreakfastclub.iheart.com,-,Must-have
Black Podcasts,Drink Champs,Hip-hop podcast hosted by N.O.R.E. and DJ EFN,https://www.iheart.com/podcast/263-drink-champs/rss.xml,https://www.drinkchamps.com,-,Must-have
Black Podcasts,The Joe Budden Podcast,Hip-hop culture podcast,https://joebuddennetwork.com/feed/podcast/,https://joebuddennetwork.com,-,
Black Podcasts,Million Dollaz Worth of Game,Podcast by Gillie Da Kid and Wallo267,https://milliondollazworth.podbean.com/feed.xml,https://milliondollazworthofgame.com,-,
Black Podcasts,Higher Learning,Podcast by Van Lathan and Rachel Lindsay,https://feeds.simplecast.com/54aJNWJS,https://www.theringer.com/higher-learning,-,
Black Podcasts,The Pivot Podcast,Sports and culture podcast by Ryan Clark Channing Crowder Fred Taylor,-,https://www.thepivotpodcast.com,-,
Black Podcasts,85 South Show,Comedy podcast by DC Young Fly Karlous Miller Chico Bean,-,https://www.85southshow.com,-,
Black Podcasts,Jemele Hill Is Unbothered,Unbothered podcast by Jemele Hill,-,https://jemelehill.com,-,
Black Podcasts,Civic Cipher,Black culture and current events podcast,https://civiccipher.com/feed/podcast/,https://civiccipher.com,-,
Black Podcasts,Sistas Who Kill,True crime focused on Black women,-,https://sistaskill.com,-,
Black Podcasts,Black Effect Podcast Network,Network of Black podcasts from iHeartMedia,https://www.blackeffect.com/feeds/,https://www.blackeffect.com,-,Network of shows
HBCU,HBCU Buzz,HBCU news and insights,https://hbcubuzz.com/feed/,https://hbcubuzz.com,565.3K,
HBCU,HBCU Lifestyle,Black college living and HBCU experiences,https://hbculifestyle.com/feed/,https://hbculifestyle.com,-,
HBCU,HBCU Sports,Football news forums and updates on Black college athletics,-,https://hbcusports.com,-,
HBCU,HBCU Times,Magazine covering HBCU culture and events,-,https://hbcutimes.com,-,
Black Business,Black Enterprise,Business insights for Black entrepreneurs,https://www.blackenterprise.com/feed/,https://www.blackenterprise.com,997.7K,
Black Business,AfroTech,Black tech news and innovation,https://afrotech.com/feed/,https://afrotech.com,-,
Black Business,Blavity,News for Black millennials,https://blavity.com/feed/,https://blavity.com,-,
Black Business,Black Tech Week,Black tech news and events,-,https://blacktechweek.com,-,
Black Business,Shea Magazine,Luxury and lifestyle for women of color,https://sheamagazine.com/feed/,https://sheamagazine.com,-,
Hip Hop Events,True Skool Network,Hip-hop events concerts shows,http://feeds.feedburner.com/trueskool,http://trueskool.com,-,
Hip Hop Events,Ground Up Radio Blog,Hip-hop radio and blog,https://groundupradio.com/feed/,https://groundupradio.com,15.4K,
Hip Hop Events,HipHopVibe,Hip-hop news and updates,https://hip-hopvibe.com/feed/,https://hip-hopvibe.com,-,
General News,BuzzFeed News,Breaking news and viral content,https://www.buzzfeed.com/index.xml,https://www.buzzfeed.com,-,Covers Black culture heavily
General News,NPR Code Switch,Race and identity podcast and blog,https://www.npr.org/rss/podcast.php?id=510312,https://www.npr.org/sections/codeswitch/,-,Race culture
General News,TheGrio,Black-focused news,https://thegrio.com/feed/,https://thegrio.com,447K,
General News,Blavity News,News and culture for Black millennials,https://blavity.com/feed/,https://blavity.com,-,
General News,The Root,Black news and culture,https://www.theroot.com/rss,https://www.theroot.com,611.8K,
General News,Word In Black,Black education and equity news,https://wordinblack.com/feed/,https://wordinblack.com,-,
Sports,HBCU Sports,Black college sports news results,-,https://hbcusports.com,-,
Sports,The Undefeated / Andscape,ESPN's platform exploring race and sports,-,https://andscape.com,-,Now Andscape
Sports,Bleacher Report Black,Black athletes and sports culture,-,https://bleacherreport.com,-,
Lifestyle+Faith,MadameNoire,Lifestyle for Black women,https://madamenoire.com/feed/,https://madamenoire.com,120.4K,
Lifestyle+Faith,Essence,Major Black women's lifestyle brand,https://www.essence.com/feed/,https://www.essence.com,-,
Lifestyle+Faith,Girls United,Black women's empowerment and lifestyle,https://girlsunited.com/feed/,https://girlsunited.com,-,
Lifestyle+Faith,Bible Study With Me,Faith and lifestyle for Black Christians,-,https://biblestudywithmegan.com,-,
